bin Ex Popul. 0- 0+ 1- 1+ 2- 2+ 3- 3+ 4- 4+ 5- 5+ 6- 6+ 7- 7+ 8- 8+ 9- 9+ 
58 0.20067303651825913 0.0029338767199961293 0.0 0.0 0.0029338767199961293 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
59 0.20413291645822912 0.0029472889629856666 0.0 0.0 0.0029472889629856666 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
60 0.2075927963981991 0.002960758586744826 0.0 0.0 0.002960758586744826 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
61 0.2110526763381691 0.0029742858135660033 0.0 0.0 0.0029742858135660033 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
62 0.21451255627813906 0.0029878708664650548 0.0 0.0 0.0029878708664650548 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
63 0.21797243621810905 0.0030015139691827904 0.0 0.0 0.0030015139691827904 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
64 0.22143231615807904 0.003015215346186501 0.0 0.0 0.003015215346186501 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
65 0.22489219609804903 0.003028975222671444 0.0 0.0 0.003028975222671444 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
66 0.22835207603801902 0.003042793824562368 0.0 0.0 0.003042793824562368 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
67 0.23181195597798898 0.003056671378514988 0.0 0.0 0.003056671378514988 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
